trial,boundary_f1,line_f1,windowdiff,pk,val_accuracy,val_loss,training_time,training_time_minutes,total_params,attention_enabled,hidden_dim,num_layers,actual_epochs
42,0.39513677811550146,0.7611112848018937,0.32852478218944287,0.23721969774224963,0.0,0.5190838128328323,3539.2000682353973,58.98666780392329,0,True,256,2,15
43,0.42598509052183176,0.7697363367105678,0.29222841122101495,0.21901861660656166,0.0,0.5252173840999603,2912.39519405365,48.53991990089416,0,True,256,2,15
44,0.4115822130299896,0.7726653044450136,0.3208721495102964,0.2343989740343273,0.0,0.49741050601005554,1320.2498800754547,22.004164667924247,0,True,256,2,15
45,0.4372384937238494,0.7651768178480663,0.3111365419944102,0.2273146726110125,0.0,0.5184604451060295,1242.0699813365936,20.701166355609892,0,True,256,2,15
46,0.4073359073359073,0.7636181847988335,0.3503037694698285,0.2496067359885268,0.0,0.5066844075918198,579.8634362220764,9.664390603701273,0,True,256,2,15
47,0.11678832116788321,0.5622922533819018,0.37443680909481647,0.3320993575727784,0.0,0.6017052084207535,605.566045999527,10.09276743332545,0,True,256,2,15
48,0.4290288153681963,0.7620583777461858,0.3138842218363451,0.23806220429505592,0.0,0.5143893882632256,1140.0559890270233,19.00093315045039,0,True,256,2,15
49,0.3741562198649952,0.7462052887794433,0.37340010181489325,0.277563132515886,0.0,0.5056679099798203,1309.4195499420166,21.823659165700278,0,True,256,2,15
50,0.43628950050968407,0.7673897877296825,0.3057301377530897,0.22481746923238824,0.0,0.5212688744068146,1051.3582620620728,17.522637701034547,0,True,256,2,15
51,0.27635619242579323,0.6866860650985365,0.3910409704931407,0.3236240368532941,0.0,0.516802042722702,961.2958762645721,16.021597937742868,0,True,256,2,15
52,0.404,0.7573156922343405,0.3383495835973836,0.24350330684086202,0.0,0.5243430137634277,1055.7007610797882,17.595012684663136,0,True,256,2,15
53,0.42526315789473684,0.763241066933587,0.293586704339283,0.22457553385880746,0.0,0.519795298576355,1053.9140033721924,17.56523338953654,0,True,256,2,15
54,0.41945288753799387,0.7600350441938313,0.3204988859582869,0.2334902558009374,0.0,0.5287423059344292,1049.5366189479828,17.49227698246638,0,True,256,2,15
55,0.4135188866799205,0.7608754548189056,0.3381197654059883,0.24408644522970724,0.0,0.513712003827095,1038.3560118675232,17.305933531125387,0,True,256,2,15
56,0.3412228796844181,0.7308752689103782,0.3959451374997799,0.2865748356936409,0.0,0.5232362747192383,1036.4260411262512,17.273767352104187,0,True,256,2,15
57,0.37126865671641796,0.7443006709896108,0.38390831372129464,0.2700364799539799,0.0,0.5120991319417953,800.8328969478607,13.347214949131011,0,True,256,2,12
58,0.136986301369863,0.5901512252740855,0.37971132304395366,0.3669145032265084,0.0,0.5745831727981567,1496.2049300670624,24.93674883445104,0,False,256,2,15
59,0.37783832879200724,0.7425131525698099,0.4358784250878943,0.3083873214879887,0.0,0.47956327348947525,2083.381901025772,34.72303168376287,0,True,256,2,15
60,0.3468208092485549,0.729194188667162,0.39990523477435125,0.3001898251449797,0.0,0.5331843197345734,5470.118832111359,91.16864720185598,0,True,128,2,15
61,0.08264462809917357,0.5976669698069701,0.3580135871796624,0.3507466337904872,0.0,0.5934005677700043,477.81798005104065,7.9636330008506775,0,True,256,2,8
62,0.43414120126448896,0.7702376689304765,0.3063047961250799,0.22118399045560333,0.0,0.5159927532076836,1147.093173980713,19.118219566345214,0,True,256,2,15
63,0.4412733260153677,0.7762144171270149,0.26854110513150165,0.21037484995389244,0.0,0.50290197879076,1146.09028506279,19.101504751046498,0,True,256,2,15
64,0.4190283400809716,0.7651623513675012,0.32462589936603364,0.24157511054780786,0.0,0.5004552453756332,1137.1277532577515,18.952129220962526,0,True,256,2,15
65,0.4249726177437021,0.769753017949531,0.28543518985088234,0.2190472067854653,0.0,0.4601353630423546,1133.1346259117126,18.885577098528543,0,True,256,2,15
66,0.35483870967741943,0.734553913820208,0.44462789374317124,0.3167818956120999,0.0,0.5061316192150116,2112.445826768875,35.20743044614792,0,False,256,2,15
67,0.4153686396677051,0.772967445222549,0.316272696832229,0.23708188422940252,0.0,0.43755093216896057,1138.9068231582642,18.98178038597107,0,True,256,2,15
68,0.42736842105263156,0.7798767587800578,0.28347250207826435,0.2163721707144296,0.0,0.4921715706586838,1428.2783832550049,23.804639720916747,0,True,128,2,15
69,0.35514018691588783,0.7507755782523386,0.3380101114011068,0.2534248063879471,0.0,0.507003903388977,949.5936634540558,15.826561057567597,0,True,128,2,15
70,0.07272727272727274,0.5582628244146708,0.32428735035308287,0.32918234136630065,0.0,0.5762005746364594,1261.697574853897,21.028292914231617,0,True,128,2,12
71,0.33877551020408164,0.7069051117518836,0.4102369435732764,0.31443393812741094,0.0,0.5008155256509781,1529.9518887996674,25.499198146661122,0,False,128,2,15
72,0.41666666666666663,0.7716878751009764,0.2972308373234402,0.22435213120756442,0.0,0.49799010902643204,1289.2284002304077,21.48714000384013,0,True,128,2,15
73,0.4105263157894737,0.7715681249570534,0.29124491386896617,0.2224389497821128,0.0,0.49994856119155884,1189.8903331756592,19.831505552927652,0,True,128,2,15
74,0.10670731707317072,0.5819589640036031,0.4049282229995929,0.38108765893402596,0.0,0.5874287337064743,975.7970099449158,16.26328349908193,0,True,256,2,15
75,0.386904761904762,0.7581445514252814,0.35316298689928044,0.2562515985489047,0.0,0.5065204203128815,967.5322840213776,16.12553806702296,0,True,128,2,15
76,0.4115308151093439,0.7634877381062262,0.33689970422037807,0.24601695921257408,0.0,0.5012400522828102,1829.040240764618,30.484004012743632,0,True,256,2,15
77,0.4422507403751234,0.7672034518455058,0.36416508917473794,0.24607765620450842,0.0,0.4943276643753052,2752.332808971405,45.87221348285675,0,True,256,2,15
78,0.08261617900172116,0.540594282813183,0.31892880219744435,0.30135258712347,0.0,0.5929334312677383,1371.2442870140076,22.85407145023346,0,True,256,2,8
79,0.3468208092485549,0.7591455638846412,0.37961249002884057,0.26818856721200685,0.0,0.49424001574516296,2295.1654160022736,38.252756933371224,0,True,256,2,15
80,0.3629697525206233,0.7492868917967992,0.41422222332400727,0.29410282670334775,0.0,0.5020969063043594,1147.157476902008,19.119291281700136,0,True,128,2,15
81,0.4073732718894009,0.7609599042312232,0.40949809481697663,0.28024381610015225,0.0,0.49183855950832367,2718.95703291893,45.315950548648836,0,True,256,2,15
82,0.4066543438077634,0.7737176841476694,0.3913608553809027,0.2574791129247141,0.0,0.4834509491920471,1244.0646080970764,20.734410134951272,0,True,256,2,15
84,0.39614561027837253,0.7670996048015504,0.31191932112650655,0.23602929463968483,0.0,0.49892912060022354,1265.8165080547333,21.096941800912223,0,True,256,2,15
85,0.43286573146292584,0.7733388212696732,0.31782301254808687,0.22287582989728674,0.0,0.4895900636911392,1331.16987991333,22.18616466522217,0,True,256,2,15
86,0.34017595307917886,0.7069985372066914,0.33050663041639605,0.26516721768133883,0.0,0.5447978377342224,1250.1581292152405,20.835968820254006,0,True,256,2,15
87,0.3878550440744368,0.7471047984131978,0.3835788421940857,0.27186224707428064,0.0,0.49559320509433746,2030.1238939762115,33.83539823293686,0,True,256,2,15
88,0.4039408866995074,0.7642467522710003,0.36824517077689367,0.25644789248073296,0.0,0.4861563667654991,925.2578272819519,15.420963788032532,0,True,256,2,15
89,0.3422053231939164,0.7271778047201684,0.4073019893224271,0.296936431063924,0.0,0.5076335519552231,914.4238348007202,15.24039724667867,0,True,256,2,12
90,0.33878729547641967,0.7365224266519947,0.405532944346535,0.29230343568071276,0.0,0.5273548141121864,686.543872833252,11.4423978805542,0,True,256,2,15
91,0.3574620196604111,0.715273746969344,0.4318132146710997,0.3298608376083231,0.0,0.5316961482167244,2093.6443939208984,34.894073232014975,0,False,256,2,15
92,0.4347826086956523,0.7635581083961311,0.3512594256787796,0.25021507991656367,0.0,0.4867604896426201,931.6561698913574,15.527602831522623,0,True,256,1,15
93,0.4202626641651032,0.7529859802232507,0.3787210288229733,0.2671753237247941,0.0,0.47998813539743423,586.7749531269073,9.779582552115123,0,True,256,1,15
94,0.45197740112994345,0.7676727987140561,0.33559653203209816,0.23840965851891624,0.0,0.4888514578342438,804.535352230072,13.408922537167866,0,True,256,1,15
95,0.42165242165242167,0.7619050968381125,0.3390940931580979,0.24110263202748367,0.0,0.5307186022400856,747.9568428993225,12.465947381655376,0,True,256,1,15
96,0.4131274131274131,0.7465029931410929,0.3836882650730746,0.27652087166102,0.0,0.4829728901386261,858.7461068630219,14.312435114383698,0,True,256,1,15
97,0.3783783783783784,0.7273074772117173,0.39490021296091055,0.29484051186512694,0.0,0.5038126707077026,482.8763680458069,8.047939467430115,0,True,256,1,8
98,0.4258872651356993,0.7802001155871702,0.29084555479002583,0.21994146878160376,0.0,0.48105742037296295,857.0640399456024,14.28440066576004,0,True,256,1,15
99,0.4056338028169014,0.7449344073216244,0.3558289963179289,0.24711934864547055,0.0,0.535097748041153,1043.5562717914581,17.392604529857635,0,True,256,1,15
100,0.4297994269340974,0.7643777329160009,0.36141084983728805,0.2595502713559853,0.0,0.49449195712804794,2105.1205530166626,35.08534255027771,0,True,256,1,15
101,0.3981132075471698,0.7431921648516349,0.35328377291362456,0.25392780776752455,0.0,0.5248043835163116,1598.3637261390686,26.639395435651142,0,True,256,1,15
102,0.4300202839756592,0.7736929605032457,0.34224867872017856,0.23741552545706124,0.0,0.485375814139843,1598.4051442146301,26.640085736910503,0,True,256,1,15
103,0.442,0.7620697912775272,0.3523498386122736,0.25511557052563805,0.0,0.49470827728509903,919.245414018631,15.320756900310517,0,True,256,1,15
104,0.45582329317269077,0.7794783424232459,0.3400918053218695,0.2383088029991715,0.0,0.48810210824012756,1545.5689148902893,25.759481914838155,0,True,256,1,15
105,0.44511581067472306,0.7778315732685896,0.34324813610312194,0.2397239472696989,0.0,0.493564248085022,1589.3214557170868,26.488690928618112,0,True,256,1,15
106,0.43398157625383826,0.7778985461168787,0.3367335247083724,0.23268870077434747,0.0,0.49329882115125656,1582.4127399921417,26.373545666535694,0,True,256,1,15
107,0.45245245245245247,0.7828952936721829,0.34303599219906844,0.2390406205963747,0.0,0.4912727400660515,1557.6789910793304,25.96131651798884,0,True,256,1,15
108,0.4573170731707317,0.7813895338453295,0.33923860603184447,0.23795250408033689,0.0,0.4881836101412773,1558.9629418849945,25.982715698083243,0,True,256,1,15
109,0.40674789128397376,0.7522533994836114,0.3782630647937298,0.2685008478506963,0.0,0.5112323313951492,1265.4995489120483,21.091659148534138,0,True,256,1,12
110,0.35982532751091706,0.7425702556289149,0.44543200583802256,0.31890447827340646,0.0,0.5054929554462433,2001.9083387851715,33.36513897975286,0,False,256,1,15
111,0.33156028368794327,0.7412679239398882,0.40516492516112684,0.2907718381938496,0.0,0.51497832685709,1864.1927328109741,31.069878880182902,0,True,256,1,15
112,0.4435721295387635,0.7589008873296734,0.35367124992866955,0.26640038411352807,0.0,0.4926157146692276,2234.82479095459,37.247079849243164,0,True,256,1,15
113,0.4444444444444444,0.7602444219121347,0.3532566305219423,0.26217092276755943,0.0,0.48828601837158203,1490.8251729011536,24.847086215019225,0,True,256,1,15
114,0.41291585127201563,0.7515214349590124,0.3520943469007869,0.2500037711275091,0.0,0.5278433561325073,1126.8740389347076,18.781233982245126,0,True,256,1,15
115,0.452642073778664,0.7674859162782699,0.34662794505797145,0.26124752465910295,0.0,0.4854461997747421,1483.16730093956,24.71945501565933,0,True,256,1,15
116,0.4495967741935484,0.7688522365078416,0.3262584145974314,0.23728131633344293,0.0,0.501419760286808,1492.684189081192,24.878069818019867,0,True,256,1,15
